timestamp,open,high,low,close
2019-01-01T09:15:00+0530,27231.4,27236.45,27172.5,27183.45
2019-01-01T09:16:00+0530,27181.15,27195.2,27176.45,27179.05
2019-01-01T09:17:00+0530,27177.35,27190.3,27171.05,27190.3
2019-01-01T09:18:00+0530,27188.65,27188.65,27150.2,27157.5
2019-01-01T09:19:00+0530,27157.2,27161.25,27130.75,27131.3
2019-01-01T09:20:00+0530,27133.4,27133.4,27114.35,27128.45
2019-01-01T09:21:00+0530,27124.95,27139.5,27124.05,27132.45
2019-01-01T09:22:00+0530,27132.45,27144.45,27128.55,27137
2019-01-01T09:23:00+0530,27136.75,27138.95,27123.95,27124.7
2019-01-01T09:24:00+0530,27125.5,27133.35,27088.4,27096.95
2019-01-01T09:25:00+0530,27097,27109.35,27095.3,27106.3
2019-01-01T09:26:00+0530,27105.95,27105.95,27092.95,27097.25
2019-01-01T09:27:00+0530,27096.75,27115.85,27095.35,27115.2
2019-01-01T09:28:00+0530,27115.15,27128.2,27107.5,27121.9
2019-01-01T09:29:00+0530,27122.25,27124.9,27115.2,27119.8
2019-01-01T09:30:00+0530,27120.3,27120.3,27111.15,27118.9
2019-01-01T09:31:00+0530,27118.6,27123.3,27110.4,27113
2019-01-01T09:32:00+0530,27112.95,27112.95,27102.1,27107.6
2019-01-01T09:33:00+0530,27107.6,27107.6,27074.25,27079.4
2019-01-01T09:34:00+0530,27080.2,27085.55,27080.2,27083.8
2019-01-01T09:35:00+0530,27085.3,27085.75,27077.3,27082.4
2019-01-01T09:36:00+0530,27082.6,27098.45,27081.25,27098.45
2019-01-01T09:37:00+0530,27094.7,27101.4,27092.15,27094.1
2019-01-01T09:38:00+0530,27094.65,27108.05,27094.65,27107.15
2019-01-01T09:39:00+0530,27105.65,27109.95,27097.3,27107.95
2019-01-01T09:40:00+0530,27108.4,27108.4,27096.85,27101.7
2019-01-01T09:41:00+0530,27102.7,27114.45,27102.7,27112.15
2019-01-01T09:42:00+0530,27111.95,27112.05,27098.35,27100.05
